Indicator Name,total_values,null_values,coverage_percent
Age dependency ratio (% of working-age population),5320,20,99.62406015037594
"Age dependency ratio, old (% of working-age population)",5320,20,99.62406015037594
"Age dependency ratio, young (% of working-age population)",5320,20,99.62406015037594
"Population, male",5320,20,99.62406015037594
"Population, female (% of total population)",5320,20,99.62406015037594
"Population, female",5320,20,99.62406015037594
"Population ages 80 and above, male (% of male population)",5320,20,99.62406015037594
"Population ages 80 and above, female (% of female population)",5320,20,99.62406015037594
"Population ages 75-79, male (% of male population)",5320,20,99.62406015037594
"Population ages 75-79, female (% of female population)",5320,20,99.62406015037594
"Population ages 70-74, male (% of male population)",5320,20,99.62406015037594
"Population ages 70-74, female (% of female population)",5320,20,99.62406015037594
"Population ages 65-69, male (% of male population)",5320,20,99.62406015037594
"Population ages 65-69, female (% of female population)",5320,20,99.62406015037594
"Population ages 65 and above, total",5320,20,99.62406015037594
"Population ages 65 and above, male (% of male population)",5320,20,99.62406015037594
"Population ages 65 and above, male",5320,20,99.62406015037594
"Population ages 65 and above, female (% of female population)",5320,20,99.62406015037594
"Population ages 65 and above, female",5320,20,99.62406015037594
Population ages 65 and above (% of total population),5320,20,99.62406015037594
"Population ages 60-64, male (% of male population)",5320,20,99.62406015037594
"Population ages 60-64, female (% of female population)",5320,20,99.62406015037594
"Population ages 55-59, male (% of male population)",5320,20,99.62406015037594
"Population ages 55-59, female (% of female population)",5320,20,99.62406015037594
"Population ages 50-54, male (% of male population)",5320,20,99.62406015037594
"Population ages 50-54, female (% of female population)",5320,20,99.62406015037594
"Population ages 45-49, male (% of male population)",5320,20,99.62406015037594
"Population ages 45-49, female (% of female population)",5320,20,99.62406015037594
"Population ages 40-44, male (% of male population)",5320,20,99.62406015037594
"Population ages 40-44, female (% of female population)",5320,20,99.62406015037594
"Population ages 35-39, male (% of male population)",5320,20,99.62406015037594
"Population ages 35-39, female (% of female population)",5320,20,99.62406015037594
"Population ages 30-34, male (% of male population)",5320,20,99.62406015037594
"Population ages 30-34, female (% of female population)",5320,20,99.62406015037594
"Population ages 25-29, male (% of male population)",5320,20,99.62406015037594
"Population ages 25-29, female (% of female population)",5320,20,99.62406015037594
"Population ages 20-24, male (% of male population)",5320,20,99.62406015037594
"Population ages 20-24, female (% of female population)",5320,20,99.62406015037594
"Population ages 15-64, total",5320,20,99.62406015037594
"Population ages 15-64, male (% of male population)",5320,20,99.62406015037594
"Population ages 15-64, male",5320,20,99.62406015037594
"Population ages 15-64, female (% of female population)",5320,20,99.62406015037594
"Population ages 15-64, female",5320,20,99.62406015037594
Population ages 15-64 (% of total population),5320,20,99.62406015037594
"Population ages 15-19, male (% of male population)",5320,20,99.62406015037594
"Population ages 15-19, female (% of female population)",5320,20,99.62406015037594
